,0,1,MeanRecoveryTerm,AltMeanRecoveryTerm,Cluster
A,6.75,22.22222222222222,18.625,5.444444444444445,-1
AAP,11.479166666666666,20.666666666666668,13.708333333333334,7.666666666666667,-1
ABBV,11.458333333333334,23.22222222222222,13.625,4.222222222222222,0
ABC,10.458333333333334,20.22222222222222,16.041666666666668,5.555555555555555,-1
ABT,10.875,15.222222222222221,14.5,9.0,-1
ACN,11.3125,19.444444444444443,14.791666666666666,8.555555555555555,-1
ADM,10.0,19.88888888888889,16.833333333333332,5.111111111111111,-1
AEE,10.0,12.666666666666666,13.791666666666666,15.222222222222221,-1
AES,9.208333333333334,16.444444444444443,18.5,10.444444444444445,-1
AFL,12.0,18.666666666666668,14.541666666666666,7.666666666666667,-1
AIG,10.541666666666666,16.555555555555557,13.666666666666666,11.0,-1
AIZ,8.104166666666666,22.11111111111111,18.166666666666668,7.222222222222222,-1
AJG,9.625,22.0,16.166666666666668,6.333333333333333,-1
ALB,12.833333333333334,16.555555555555557,13.375,9.666666666666666,-1
ALK,13.75,23.77777777777778,12.75,5.666666666666667,-1
ALL,11.833333333333334,20.88888888888889,13.833333333333334,5.111111111111111,-1
ALLE,12.291666666666666,23.333333333333332,13.791666666666666,4.666666666666667,-1
AMCR,8.541666666666666,19.0,13.625,6.888888888888889,-1
AME,12.583333333333334,24.333333333333332,14.666666666666666,4.333333333333333,-1
AMP,9.5625,22.88888888888889,14.291666666666666,5.0,0
AMT,7.958333333333333,18.666666666666668,17.625,8.88888888888889,-1
ANET,9.666666666666666,22.77777777777778,15.125,5.0,0
AON,9.583333333333334,22.444444444444443,15.375,4.333333333333333,0
AOS,16.166666666666668,18.88888888888889,11.75,7.555555555555555,-1
APD,10.166666666666666,22.0,14.541666666666666,6.555555555555555,0
APH,11.791666666666666,17.666666666666668,13.75,8.666666666666666,-1
APTV,10.291666666666666,21.22222222222222,15.333333333333334,5.555555555555555,-1
ARE,8.541666666666666,17.11111111111111,18.333333333333332,8.444444444444445,-1
ATO,7.25,20.22222222222222,17.625,7.222222222222222,-1
AVB,6.25,17.333333333333332,18.5,10.777777777777779,-1
AVY,8.041666666666666,24.444444444444443,17.125,4.222222222222222,-1
AWK,9.625,18.333333333333332,15.208333333333334,8.333333333333334,-1
AXP,10.375,23.444444444444443,14.208333333333334,3.5555555555555554,0
AZO,14.333333333333334,18.22222222222222,12.375,8.777777777777779,-1
BA,10.875,18.77777777777778,16.833333333333332,8.777777777777779,-1
BAC,13.0,18.88888888888889,13.083333333333334,7.777777777777778,-1
BALL,11.875,23.22222222222222,14.291666666666666,4.333333333333333,0
BAX,12.583333333333334,17.555555555555557,15.833333333333334,10.555555555555555,-1
BBWI,14.458333333333334,19.333333333333332,11.416666666666666,6.888888888888889,-1
BBY,10.75,21.444444444444443,14.916666666666666,5.888888888888889,-1
BDX,11.125,24.88888888888889,14.833333333333334,4.555555555555555,-1
BEN,8.916666666666666,24.0,16.25,5.0,-1
BF.B,9.3125,23.11111111111111,14.541666666666666,4.555555555555555,0
BIO,12.208333333333334,19.444444444444443,15.458333333333334,6.222222222222222,-1
BK,13.375,23.22222222222222,12.166666666666666,5.666666666666667,-1
BLK,8.583333333333334,18.11111111111111,16.291666666666668,8.666666666666666,-1
BMY,12.583333333333334,19.444444444444443,10.458333333333334,7.777777777777778,-1
BR,7.791666666666667,21.11111111111111,16.541666666666668,6.222222222222222,-1
BRK-B,14.291666666666666,16.444444444444443,12.5,10.11111111111111,-1
BRO,10.875,18.77777777777778,15.125,10.11111111111111,-1
BSX,11.0,23.333333333333332,14.958333333333334,4.777777777777778,0
BWA,14.791666666666666,19.333333333333332,11.375,7.666666666666667,-1
BXP,9.541666666666666,17.77777777777778,15.5,11.222222222222221,-1
C,14.083333333333334,17.88888888888889,11.791666666666666,8.666666666666666,-1
CAG,14.458333333333334,13.444444444444445,11.791666666666666,10.444444444444445,-1
CAH,10.041666666666666,20.333333333333332,15.5,7.555555555555555,-1
CARR,9.5,23.11111111111111,14.625,4.555555555555555,0
CAT,13.666666666666666,15.666666666666666,14.416666666666666,12.333333333333334,-1
CB,13.083333333333334,18.88888888888889,11.625,10.0,-1
CBRE,10.479166666666666,19.22222222222222,15.5,6.555555555555555,-1
CCI,11.208333333333334,15.222222222222221,14.25,9.11111111111111,-1
CCL,14.208333333333334,23.555555555555557,13.208333333333334,3.3333333333333335,-1
CDAY,9.875,23.444444444444443,14.0,4.111111111111111,0
CE,10.479166666666666,24.77777777777778,15.458333333333334,3.4444444444444446,-1
CF,9.5625,23.555555555555557,14.333333333333334,4.444444444444445,0
CFG,13.25,22.88888888888889,11.791666666666666,4.888888888888889,-1
CHD,9.916666666666666,19.88888888888889,15.916666666666666,6.555555555555555,-1
CI,6.958333333333333,16.555555555555557,17.916666666666668,10.88888888888889,-1
CL,13.708333333333334,19.22222222222222,11.958333333333334,7.555555555555555,-1
CLX,8.583333333333334,16.444444444444443,13.833333333333334,10.444444444444445,-1
CMA,11.875,21.666666666666668,12.333333333333334,6.222222222222222,-1
CMG,11.916666666666666,22.555555555555557,13.166666666666666,4.333333333333333,-1
CMI,11.5,19.88888888888889,14.458333333333334,7.444444444444445,-1
CMS,7.083333333333333,15.333333333333334,16.083333333333332,9.222222222222221,-1
CNC,10.145833333333334,17.77777777777778,17.083333333333332,7.111111111111111,-1
CNP,10.0,17.0,17.166666666666668,9.11111111111111,-1
COF,12.041666666666666,22.333333333333332,13.75,5.777777777777778,-1
COO,10.833333333333334,17.666666666666668,15.25,9.11111111111111,-1
COP,10.25,21.22222222222222,14.458333333333334,6.555555555555555,-1
CPB,9.541666666666666,18.77777777777778,15.0,9.444444444444445,-1
CPT,8.458333333333334,15.777777777777779,16.708333333333332,10.0,-1
CRL,15.1875,22.666666666666668,11.666666666666666,5.111111111111111,-1
CRM,10.8125,21.0,14.833333333333334,6.444444444444445,-1
CTLT,11.041666666666666,22.22222222222222,14.125,5.111111111111111,0
CTRA,9.666666666666666,16.333333333333332,16.083333333333332,11.222222222222221,-1
CTVA,8.75,20.444444444444443,15.541666666666666,5.777777777777778,-1
CVS,9.416666666666666,19.77777777777778,15.916666666666666,6.777777777777778,-1
CVX,12.5,19.22222222222222,13.666666666666666,8.444444444444445,-1
D,9.458333333333334,10.222222222222221,14.833333333333334,11.777777777777779,-1
DAL,10.75,22.666666666666668,13.5,5.111111111111111,0
DD,14.875,19.11111111111111,10.583333333333334,7.888888888888889,-1
DE,11.125,24.666666666666668,15.083333333333334,4.0,-1
DFS,11.916666666666666,24.0,13.5,3.6666666666666665,-1
DG,9.5,20.0,13.916666666666666,7.555555555555555,-1
DGX,10.416666666666666,23.11111111111111,15.083333333333334,5.222222222222222,0
DHI,14.458333333333334,19.11111111111111,9.833333333333334,8.666666666666666,-1
DHR,12.666666666666666,23.11111111111111,14.041666666666666,5.0,-1
DIS,9.625,22.444444444444443,13.25,4.222222222222222,0
DLR,8.6875,14.555555555555555,17.583333333333332,10.0,-1
DOV,11.083333333333334,26.0,15.333333333333334,3.4444444444444446,-1
DOW,10.208333333333334,23.22222222222222,14.208333333333334,4.444444444444445,0
DPZ,11.9375,17.22222222222222,14.125,9.0,-1
DRI,10.166666666666666,15.555555555555555,15.625,9.444444444444445,-1
DTE,9.75,15.777777777777779,16.5,9.666666666666666,-1
